Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/260.sql, Simplify Expressions, 1000, 4.17562, 55.2817
Indexed Algebra, scripts/hugejoin/queries/260.sql, Unnesting, 1000, 3.87948, 123.023
Indexed Algebra, scripts/hugejoin/queries/260.sql, Predicate Pushdown, 1000, 24.2012, 658.128
Indexed Algebra, scripts/hugejoin/queries/260.sql, Side-way Information Passing, 1000, 0.00183916, 0.026441
Indexed Algebra, scripts/hugejoin/queries/260.sql, Cardinality Estimation, 1000, 6.89134, 151.567
Indexed Algebra, scripts/hugejoin/queries/260.sql, Join Ordering, 1000, 106.177, 7064.55
Indexed Algebra, scripts/hugejoin/queries/260.sql, Common Subtree Elimination, 1000, 0.00867791, 0.038031
Indexed Algebra, scripts/hugejoin/queries/260.sql, Physical Planning, 1000, 16.4216, 657.3
Indexed Algebra, scripts/hugejoin/queries/260.sql, Total, 1000, 117.972, 8756.81
Indexed Algebra, scripts/hugejoin/queries/270.sql, Simplify Expressions, 1000, 4.29957, 57.9581
Indexed Algebra, scripts/hugejoin/queries/270.sql, Unnesting, 1000, 3.53667, 127.24
Indexed Algebra, scripts/hugejoin/queries/270.sql, Predicate Pushdown, 1000, 30.6662, 688.725
Indexed Algebra, scripts/hugejoin/queries/270.sql, Side-way Information Passing, 1000, 0.00194521, 0.026776
Indexed Algebra, scripts/hugejoin/queries/270.sql, Cardinality Estimation, 1000, 7.46328, 158.05
Indexed Algebra, scripts/hugejoin/queries/270.sql, Join Ordering, 1000, 210.03, 7649.78
Indexed Algebra, scripts/hugejoin/queries/270.sql, Common Subtree Elimination, 1000, 0.0068093, 0.037426
Indexed Algebra, scripts/hugejoin/queries/270.sql, Physical Planning, 1000, 22.3796, 670.946
Indexed Algebra, scripts/hugejoin/queries/270.sql, Total, 1000, 248.786, 9392.52
Indexed Algebra, scripts/hugejoin/queries/280.sql, Simplify Expressions, 1000, 4.22744, 60.2823
Indexed Algebra, scripts/hugejoin/queries/280.sql, Unnesting, 1000, 4.86545, 131.771
Indexed Algebra, scripts/hugejoin/queries/280.sql, Predicate Pushdown, 1000, 39.2079, 716.955
Indexed Algebra, scripts/hugejoin/queries/280.sql, Side-way Information Passing, 1000, 0.00195236, 0.026548
Indexed Algebra, scripts/hugejoin/queries/280.sql, Cardinality Estimation, 1000, 8.08259, 163.694
Indexed Algebra, scripts/hugejoin/queries/280.sql, Join Ordering, 1000, 161.784, 8253.7
Indexed Algebra, scripts/hugejoin/queries/280.sql, Common Subtree Elimination, 1000, 0.0135946, 0.037589
Indexed Algebra, scripts/hugejoin/queries/280.sql, Physical Planning, 1000, 26.7288, 679.058
Indexed Algebra, scripts/hugejoin/queries/280.sql, Total, 1000, 199.921, 10026.4
Indexed Algebra, scripts/hugejoin/queries/290.sql, Simplify Expressions, 1000, 2.09738, 62.6628
Indexed Algebra, scripts/hugejoin/queries/290.sql, Unnesting, 1000, 3.30971, 136.861
Indexed Algebra, scripts/hugejoin/queries/290.sql, Predicate Pushdown, 1000, 16.7969, 742.52
Indexed Algebra, scripts/hugejoin/queries/290.sql, Side-way Information Passing, 1000, 0.00183269, 0.026307
Indexed Algebra, scripts/hugejoin/queries/290.sql, Cardinality Estimation, 1000, 8.26713, 170.59
Indexed Algebra, scripts/hugejoin/queries/290.sql, Join Ordering, 1000, 131.141, 8881.73
Indexed Algebra, scripts/hugejoin/queries/290.sql, Common Subtree Elimination, 1000, 0.008105, 0.037205
Indexed Algebra, scripts/hugejoin/queries/290.sql, Physical Planning, 1000, 19.0422, 720.444
Indexed Algebra, scripts/hugejoin/queries/290.sql, Total, 1000, 140.216, 10756.1
Indexed Algebra, scripts/hugejoin/queries/300.sql, Simplify Expressions, 1000, 4.33646, 64.7028
Indexed Algebra, scripts/hugejoin/queries/300.sql, Unnesting, 1000, 5.03401, 141.666
Indexed Algebra, scripts/hugejoin/queries/300.sql, Predicate Pushdown, 1000, 37.1683, 766.655
Indexed Algebra, scripts/hugejoin/queries/300.sql, Side-way Information Passing, 1000, 0.00178157, 0.026545
Indexed Algebra, scripts/hugejoin/queries/300.sql, Cardinality Estimation, 1000, 8.52111, 175.979
Indexed Algebra, scripts/hugejoin/queries/300.sql, Join Ordering, 1000, 283.639, 9531.98
Indexed Algebra, scripts/hugejoin/queries/300.sql, Common Subtree Elimination, 1000, 0.0135877, 0.037503
Indexed Algebra, scripts/hugejoin/queries/300.sql, Physical Planning, 1000, 29.5877, 835.988
Indexed Algebra, scripts/hugejoin/queries/300.sql, Total, 1000, 321.131, 11554.5
Indexed Algebra, scripts/hugejoin/queries/1000.sql, Simplify Expressions, 10, 29.4196, 249.253
Indexed Algebra, scripts/hugejoin/queries/1000.sql, Unnesting, 10, 14.6615, 498.87
